t,g15,m15,lb15,ub15,g30,m30,lb30,ub30
0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
1.0,0.04,0.02188139866808873,0.02,0.12,0.18,0.026174793491115157,0.02,0.22
2.0,0.04,0.023931139906295466,0.02,0.18,0.5,0.034167381806427984,0.02,0.5
3.0,0.06,0.02616260296534073,0.02,0.28,0.62,0.04445171174192955,0.06,0.66
4.0,0.06,0.02858990863860473,0.04,0.36,0.72,0.057584270602915,0.12,0.7410000000000003
5.0,0.12,0.03122788231462738,0.04,0.42,0.8,0.07419179598613346,0.259,0.8
6.0,0.18,0.03409201949360857,0.06,0.48,0.78,0.0949368295244866,0.4,0.82
7.0,0.16,0.037198469625688395,0.06,0.52,0.82,0.12045665903477165,0.54,0.84
8.0,0.14,0.040563860848132766,0.07899999999999999,0.56,0.82,0.15126403909129923,0.58,0.84
9.0,0.26,0.04420524787542888,0.1,0.58,0.8,0.18762267330316387,0.5989999999999999,0.84
10.0,0.26,0.048139957861347935,0.1,0.6,0.68,0.22940076350895602,0.6,0.84
11.0,0.24,0.05238562285113403,0.14,0.6,0.6,0.2759550483287864,0.6,0.82
12.0,0.18,0.056959625757859414,0.16,0.6010000000000002,0.6,0.32609696011702005,0.58,0.84
13.0,0.16,0.061878940890630806,0.19899999999999998,0.62,0.6,0.37817132272210563,0.6,0.84
14.0,0.14,0.06716009796615799,0.22,0.62,0.64,0.43019784986468984,0.6,0.84
15.0,0.24,0.07281862576792839,0.23899999999999996,0.62,0.76,0.48026726368741496,0.6,0.84
16.0,0.38,0.07886929923970158,0.23899999999999996,0.62,0.68,0.5267380984684,0.6,0.84
17.0,0.32,0.08532489142861086,0.24,0.62,0.7,0.5683884987920047,0.6,0.84
18.0,0.3,0.09219583101259,0.24,0.6210000000000002,0.64,0.6046231441615282,0.6,0.8210000000000002
19.0,0.18,0.09949020230037377,0.26,0.64,0.72,0.6353020391506704,0.58,0.84
20.0,0.3,0.10721366597484702,0.279,0.62,0.72,0.6608255733945607,0.58,0.84
21.0,0.46,0.11536829007934268,0.26,0.64,0.72,0.6817962612042594,0.6,0.84
22.0,0.58,0.12395261963094398,0.28,0.64,0.68,0.6984550474059041,0.6,0.8410000000000002
23.0,0.6,0.1329607761378454,0.28,0.62,0.6,0.7112915530669454,0.6,0.84
24.0,0.5,0.14238218178061962,0.28,0.64,0.68,0.7210724712888783,0.6,0.84
25.0,0.4,0.1522015594122174,0.29899999999999993,0.64,0.66,0.7288319871535305,0.58,0.84
26.0,0.4,0.16239893255796786,0.3,0.62,0.74,0.7350350361950861,0.6,0.84
27.0,0.38,0.1729497366294136,0.3,0.62,0.66,0.7397992585463503,0.6,0.84
28.0,0.5,0.18382542714472963,0.3,0.62,0.76,0.743444573188686,0.58,0.82
29.0,0.48,0.1949892453266027,0.28,0.6210000000000002,0.84,0.7462600939333377,0.6,0.84
30.0,0.38,0.20640059675971384,0.3,0.64,0.72,0.7484265344381533,0.6,0.84
31.0,0.42,0.2180164098793641,0.3,0.6210000000000002,0.7,0.7500472571663398,0.6,0.84
32.0,0.56,0.22979113597147466,0.32,0.64,0.74,0.7512381172005326,0.6,0.84
33.0,0.42,0.2416767491725871,0.32,0.62,0.68,0.7521283012856841,0.6,0.8410000000000002
34.0,0.4,0.2536227464698625,0.28,0.64,0.78,0.7528417045014285,0.6,0.84
35.0,0.36,0.26557614770108356,0.29899999999999993,0.62,0.66,0.7533938114108452,0.6,0.84
36.0,0.42,0.27748289383781827,0.3,0.62,0.82,0.7538089495393561,0.6,0.84
