node,time,state
1,0.0,0
1,1.0,0
1,2.0,0
1,3.0,0
1,4.0,0
1,5.0,1
1,6.0,0
1,7.0,0
1,8.0,1
1,9.0,1
1,10.0,1
1,11.0,1
1,12.0,1
1,13.0,0
1,14.0,1
1,15.0,0
1,16.0,0
1,17.0,1
1,18.0,0
1,19.0,1
1,20.0,1
1,21.0,1
1,22.0,1
1,23.0,1
1,24.0,1
1,25.0,1
1,26.0,1
1,27.0,1
1,28.0,1
1,29.0,1
1,30.0,1
1,31.0,1
1,32.0,0
1,33.0,1
1,34.0,1
1,35.0,0
1,36.0,1
1,37.0,1
1,38.0,1
1,39.0,1
1,40.0,1
1,41.0,1
1,42.0,1
1,43.0,0
1,44.0,1
1,45.0,1
1,46.0,1
1,47.0,1
1,48.0,0
1,49.0,1
1,50.0,0
1,51.0,1
1,52.0,1
1,53.0,0
1,54.0,1
1,55.0,1
1,56.0,1
1,57.0,1
1,58.0,1
1,59.0,0
1,60.0,0
1,61.0,1
1,62.0,1
1,63.0,0
1,64.0,1
1,65.0,1
1,66.0,0
1,67.0,1
1,68.0,1
1,69.0,0
1,70.0,0
1,71.0,1
1,72.0,0
1,73.0,1
1,74.0,1
1,75.0,1
1,76.0,1
1,77.0,0
1,78.0,0
1,79.0,0
1,80.0,1
1,81.0,1
1,82.0,1
1,83.0,1
1,84.0,1
1,85.0,1
1,86.0,1
1,87.0,1
1,88.0,1
1,89.0,1
1,90.0,0
1,91.0,1
1,92.0,1
1,93.0,1
1,94.0,1
1,95.0,1
1,96.0,1
1,97.0,0
1,98.0,0
1,99.0,1
1,100.0,1
2,0.0,0
2,1.0,0
2,2.0,1
2,3.0,1
2,4.0,1
2,5.0,1
2,6.0,1
2,7.0,1
2,8.0,1
2,9.0,1
2,10.0,1
2,11.0,1
2,12.0,1
2,13.0,1
2,14.0,0
2,15.0,1
2,16.0,1
2,17.0,1
2,18.0,1
2,19.0,0
2,20.0,1
2,21.0,1
2,22.0,0
2,23.0,1
2,24.0,1
2,25.0,1
2,26.0,0
2,27.0,0
2,28.0,0
2,29.0,1
2,30.0,1
2,31.0,1
2,32.0,1
2,33.0,1
2,34.0,1
2,35.0,1
2,36.0,1
2,37.0,0
2,38.0,0
2,39.0,1
2,40.0,1
2,41.0,1
2,42.0,1
2,43.0,1
2,44.0,1
2,45.0,1
2,46.0,0
2,47.0,1
2,48.0,1
2,49.0,1
2,50.0,1
2,51.0,1
2,52.0,1
2,53.0,1
2,54.0,1
2,55.0,1
2,56.0,1
2,57.0,1
2,58.0,1
2,59.0,1
2,60.0,1
2,61.0,1
2,62.0,1
2,63.0,1
2,64.0,1
2,65.0,1
2,66.0,1
2,67.0,1
2,68.0,1
2,69.0,0
2,70.0,1
2,71.0,1
2,72.0,1
2,73.0,0
2,74.0,1
2,75.0,1
2,76.0,1
2,77.0,1
2,78.0,1
2,79.0,1
2,80.0,1
2,81.0,1
2,82.0,1
2,83.0,1
2,84.0,1
2,85.0,1
2,86.0,0
2,87.0,0
2,88.0,0
2,89.0,1
2,90.0,0
2,91.0,1
2,92.0,1
2,93.0,1
2,94.0,1
2,95.0,1
2,96.0,1
2,97.0,1
2,98.0,0
2,99.0,1
2,100.0,0
3,0.0,0
3,1.0,0
3,2.0,1
3,3.0,0
3,4.0,1
3,5.0,1
3,6.0,1
3,7.0,1
3,8.0,1
3,9.0,1
3,10.0,1
3,11.0,1
3,12.0,1
3,13.0,1
3,14.0,0
3,15.0,1
3,16.0,1
3,17.0,0
3,18.0,1
3,19.0,0
3,20.0,0
3,21.0,0
